r_m,d
0.815000,0.879337311474
0.816000,0.879011326756
0.817000,0.878684763819
0.818000,0.878357621696
0.819000,0.878029899416
0.820000,0.877701596001
0.821000,0.877372710474
0.822000,0.877043241849
0.823000,0.876713189139
0.824000,0.876382551353
0.825000,0.876051327493
0.826000,0.875719516559
0.827000,0.875387117548
0.828000,0.875054129449
0.829000,0.874720551251
0.830000,0.874386381935
0.831000,0.874051620481
0.832000,0.873716265861
0.833000,0.873380317046
0.834000,0.873043773002
0.835000,0.872706632689
0.836000,0.872368895063
0.837000,0.872030559078
0.838000,0.871691623679
0.839000,0.871352087812
0.840000,0.871011950413
0.841000,0.870671210418
0.842000,0.870329866756
0.843000,0.869987918351
0.844000,0.869645364124
0.845000,0.869302202991
0.846000,0.868958433862
0.847000,0.868614055643
0.848000,0.868269067237
0.849000,0.867923467540
0.850000,0.867577255444
0.851000,0.867230429835
0.852000,0.866882989597
0.853000,0.866534933606
0.854000,0.866186260736
0.855000,0.865836969853
0.856000,0.865487059820
0.857000,0.865136529495
0.858000,0.864785377731
0.859000,0.864433603375
0.860000,0.864081205269
0.861000,0.863728182251
0.862000,0.863374533153
0.863000,0.863020256801
0.864000,0.862665352019
0.865000,0.862309817622
0.866000,0.861953652422
0.867000,0.861596855225
0.868000,0.861239424831
0.869000,0.860881360036
0.870000,0.860522659629
0.871000,0.860163322396
0.872000,0.859803347115
0.873000,0.859442732560
0.874000,0.859081477499
0.875000,0.858719580694
0.876000,0.858357040902
0.877000,0.857993856874
0.878000,0.857630027357
0.879000,0.857265551089
0.880000,0.856900426805
0.881000,0.856534653234
0.882000,0.856168229097
0.883000,0.855801153112
0.884000,0.855433423989
0.885000,0.855065040433
0.886000,0.854696001144
0.887000,0.854326304814
0.888000,0.853955950130
0.889000,0.853584935772
0.890000,0.853213260417
0.891000,0.852840922732
0.892000,0.852467921379
0.893000,0.852094255016
0.894000,0.851719922291
0.895000,0.851344921849
0.896000,0.850969252327
0.897000,0.850592912355
0.898000,0.850215900559
0.899000,0.849838215556
0.900000,0.849459855957
0.901000,0.849080820368
0.902000,0.848701107387
0.903000,0.848320715606
0.904000,0.847939643610
0.905000,0.847557889977
0.906000,0.847175453279
0.907000,0.846792332080
0.908000,0.846408524938
0.909000,0.846024030405
0.910000,0.845638847024
0.911000,0.845252973333
0.912000,0.844866407861
0.913000,0.844479149132
0.914000,0.844091195661
0.915000,0.843702545957
0.916000,0.843313198522
0.917000,0.842923151849
0.918000,0.842532404425
0.919000,0.842140954729
0.920000,0.841748801235
0.921000,0.841355942406
0.922000,0.840962376699
0.923000,0.840568102564
0.924000,0.840173118442
0.925000,0.839777422769
0.926000,0.839381013969
0.927000,0.838983890462
0.928000,0.838586050659
0.929000,0.838187492962
0.930000,0.837788215766
0.931000,0.837388217460
0.932000,0.836987496420
0.933000,0.836586051019
0.934000,0.836183879618
0.935000,0.835780980573
0.936000,0.835377352229
0.937000,0.834972992925
0.938000,0.834567900989
0.939000,0.834162074743
0.940000,0.833755512499
0.941000,0.833348212561
0.942000,0.832940173224
0.943000,0.832531392775
0.944000,0.832121869491
0.945000,0.831711601643
0.946000,0.831300587488
0.947000,0.830888825280
0.948000,0.830476313260
0.949000,0.830063049661
0.950000,0.829649032707
0.951000,0.829234260613
0.952000,0.828818731585
0.953000,0.828402443818
0.954000,0.827985395499
0.955000,0.827567584805
0.956000,0.827149009905
0.957000,0.826729668957
0.958000,0.826309560108
0.959000,0.825888681498
0.960000,0.825467031255
0.961000,0.825044607498
0.962000,0.824621408337
0.963000,0.824197431871
0.964000,0.823772676188
0.965000,0.823347139366
0.966000,0.822920819475
0.967000,0.822493714572
0.968000,0.822065822706
0.969000,0.821637141913
0.970000,0.821207670219
0.971000,0.820777405641
0.972000,0.820346346184
0.973000,0.819914489842
0.974000,0.819481834600
0.975000,0.819048378428
0.976000,0.818614119289
0.977000,0.818179055132
0.978000,0.817743183898
0.979000,0.817306503513
0.980000,0.816869011894
0.981000,0.816430706946
0.982000,0.815991586562
0.983000,0.815551648623
0.984000,0.815110891000
0.985000,0.814669311550
0.986000,0.814226908119
0.987000,0.813783678542
0.988000,0.813339620639
0.989000,0.812894732221
0.990000,0.812449011084
0.991000,0.812002455015
0.992000,0.811555061784
0.993000,0.811106829151
0.994000,0.810657754864
0.995000,0.810207836657
0.996000,0.809757072251
0.997000,0.809305459353
0.998000,0.808852995660
0.999000,0.808399678852
